oid,ra,dec,Main identifier,Parrallax,Radial velocity,pmra,pmdec
674471,56.31396873113,25.28948052951,"2MASS J03451534+2517221",7.4258,31.8801,20.04,-45.969
674297,56.31592132987,25.110256180690005,"2MASS J03451581+2506369",12.3204,0.186552,22.251,-69.036
13402139,56.3331723848475,24.473527148401665,"2MASS J03451996+2428247",7.3378,58.36059982222531,20.59,-44.039
675621,56.342444231479575,23.471708794622774,"2MASS J03452219+2328182",7.3074,5.67556,20.224,-44.65
675625,56.36547927342001,23.170373670799997,"2MASS J03452772+2310134",4.2474,58.856998,14.251,-36.545
675219,56.45567675863209,24.41869625402167,"2MASS J03454935+2425073",7.261,5.02834,19.209,-42.782
8376931,56.46387985963208,24.295677760046388,"2MASS J03455132+2417445",7.4136,41.70712848665909,18.664,-44.187
674254,56.47404109196,24.46912269252,"2MASS J03455376+2428088",10.7042,-5.08242,23.987,-48.644
14743999,56.47966852764999,24.55480650812,"2MASS J03455509+2433171",7.3552,21.57,19.533,-45.551
674345,56.48865228910375,25.18692182978139,"2MASS J03455726+2511129",6.9943,3.06178,20.31,-46.486
674339,56.50934802608,25.611302139499998,"2MASS J03460223+2536407",11.3885,-36.537498,34.616,-42.362
675539,56.511501346555,23.737378818796664,"2MASS J03460275+2344146",7.4258,7.49892,19.496,-44.257
674265,56.51589925332,25.45299601966,"2MASS J03460381+2527108",7.3186,4.75645,22.572,-44.96
11286728,56.52400510687,25.47892925827,"2MASS J03460575+2528442",1.1676,7.05,3.797,-14.596
675721,56.52714774600625,23.839013779814444,"2MASS J03460651+2350204",7.1765,4.82607,19.691,-45.972
674523,56.53058742875,24.884140419769995,"2MASS J03460734+2453029",2.7072,-16.7903,21.354,-4.86
674468,56.540235447140006,24.9093032161,"2MASS J03460964+2454334",0.2554,-30.43,-1.529,-0.48
674176,56.548975597035835,24.622317743112223,"2MASS J03461174+2437203",7.5501,7.21824,21.195,-44.696
16487410,56.55904091483,24.398370662109997,"2MASS J03461416+2423541",2.3524,-17.022699,27.016,-15.747
675443,56.585308861811654,24.785483786688335,"2MASS J03462047+2447077",7.4548,5.64863,18.584,-45.181
676801,56.59247932664,23.878123612010004,"2MASS J03462219+2352412",7.1117,5.11661,19.385,-43.298
8376944,56.59358366526125,23.4856271422625,"2MASS J03462246+2329082",7.1504,29.376662848782825,19.859,-44.83
675451,56.65738312486625,24.747689402243612,"2MASS J03463777+2444517",7.6327,5.58388,20.423,-47.627
675573,56.696091685905415,22.91457972399833,"2MASS J03464706+2254525",7.1881,6.10292,18.758,-45.002
675708,56.71917496084999,23.645339306399997,"2MASS J03465259+2338433",7.2636,5.8104,19.341,-45.103
675598,56.721926281580004,22.88093328478,"2MASS J03465326+2252513",6.8172,6.58407,18.983,-41.601
676744,56.74273707227791,24.028188378988332,"2MASS J03465825+2401415",7.4496,5.51,19.212,-43.363
675623,56.75591759394207,23.494941555419718,"2MASS J03470141+2329419",7.3865,6.19764,19.072,-45.023
675597,56.77824940677291,23.715149784798328,"2MASS J03470678+2342546",7.3504,6.277,19.426,-44.409
674355,56.81168086131167,25.371830211100555,"2MASS J03471480+2522186",7.4731,5.48611,19.562,-45.938
675720,56.85559360664,24.049156849669995,"2MASS J03472534+2402570",7.3811,5.54337,18.362,-45.828
674271,56.89669717911,25.54394905754,"2MASS J03473520+2532382",6.7644,11.2229,18.625,-42.81
675722,56.94328063603958,24.05068844695722,"2MASS J03474638+2403025",7.5558,5.39871,20.173,-46.514
675624,56.95048944832959,23.218087542693056,"2MASS J03474811+2313053",7.4112,7.80677,20.054,-45.848
8376927,57.02439760144333,23.883636223471946,"2MASS J03480586+2353011",7.3926,7.254977649328207,20.181,-43.466
675248,57.036709598280005,25.029357180750004,"2MASS J03480881+2501458",7.6581,-16.717501,13.623,-41.159
676183,57.04238766109,23.00113465464,"2MASS J03481017+2300041",6.1632,6.89183,16.114,-38.177
676042,57.04573774714916,23.50700913739111,"2MASS J03481098+2330253",7.319,5.93169,19.707,-44.54
676702,57.06152762278,22.27025087846,"2MASS J03481476+2216129",0.4119,2.03941,-1.579,-1.027
676031,57.07502877920458,23.891475227846943,"2MASS J03481801+2353294",7.2951,6.07614,19.104,-45.349
675901,57.14379314661,23.434791333539728,"2MASS J03483451+2326053",7.3801,6.2246,19.372,-45.078
10123245,57.427945250786664,24.318781031086115,"2MASS J03494270+2419077",7.4698,7.211,20.447,-47.84
11286788,57.43179486054001,23.2733898906,"2MASS J03494362+2316242",0.8391,1.5773,0.038,3.86
675263,57.52728391259001,24.99625428943,"2MASS J03500654+2459467",7.0968,7.20045,20.722,-48.12
676047,57.662140793716254,23.217429263059163,"2MASS J03503890+2313028",7.3013,5.312,18.265,-45.377
674915,57.66375112764,25.39375414455,"2MASS J03503929+2523375",6.3893,5.8426,18.771,-45.538
11286795,57.68175831389,23.29288510153,"2MASS J03504361+2317343",1.8153,11.3983,2.326,-8.334
22733567,57.68358494234501,23.384113128048607,"2MASS J03504405+2323028",0.6172,-50.4,-3.0,-1.538
16487414,57.73594490774,23.73722299959,"2MASS J03505662+2344140",2.9896,-21.908899,-3.96,4.875
8377288,57.76595051422,22.843908116289995,"2MASS J03510382+2250382",4.6544,-1.35,19.633,-38.967
674909,57.84223497686542,25.166130809806113,"2MASS J03512213+2509580",7.2076,5.6691,19.599,-45.434
676828,57.84921832353792,22.84147290939972,"2MASS J03512381+2250293",7.4306,7.56144,19.642,-44.989
676829,57.91264825542584,22.750277321915554,"2MASS J03513903+2245010",7.285,6.77634,19.604,-45.597
676040,57.9889070749604,23.33942789805166,"2MASS J03515733+2320219",7.4842,6.09903,20.844,-46.485
