HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,B-V,e_B-V,V-I,hip2_oid,ic,UW,Testing
19032,5,0,1,1.0673715374,1.17,0.2902033068,0.76,5.22,1.23,-12.99,1.3,-5.17,1.03,50,-0.34,0,0.0,9.3023,0.0023,0.016,0,0.47,0.02,0.54,18983,0,"1.00,-0.36,1.35,-0.31,-0.20,0.78,-0.35,0.09,0.00,0.75,0.24,-0.27,0.10,-0.15,0.93",false
19085,5,0,1,1.0712769175,0.81,0.2493444011,0.74,6.42,1.09,11.8,1.11,-36.62,0.88,42,1.55,0,0.0,7.4566,0.0013,0.006,0,1.22,0.015,1.17,19036,0,"1.57,-0.47,2.00,-0.37,0.66,1.19,-0.24,0.23,-0.32,1.12,0.36,0.15,-0.38,-0.46,1.33",false
19120,5,0,1,1.073037958,1.08,0.2705100966,0.65,14.12,1.22,35.74,1.07,-38.49,0.78,51,1.15,0,0.0,8.2702,0.0011,0.01,0,0.564,0.015,0.64,19071,0,"1.26,-0.27,1.73,-0.61,0.16,0.96,0.09,0.04,0.11,1.05,0.04,0.10,0.42,-0.13,1.43",false
19148,5,0,1,1.0745450923,1.14,0.2739847162,0.62,21.74,1.3,118.45,1.07,-20.7,0.78,47,2.24,0,0.0,7.9661,0.002,0.012,0,0.593,0.005,0.66,19099,0,"1.42,-0.09,2.03,-0.74,0.17,1.11,-0.06,0.16,0.35,1.17,0.23,0.21,0.76,-0.13,1.59",true
19157,5,0,1,1.0750398423,0.75,0.2513634785,0.6,17.25,0.85,67.08,0.91,58.55,0.71,53,1.87,0,0.0,7.4067,0.0011,0.009,0,0.496,0.015,0.57,19108,0,"1.66,-0.53,2.07,-0.16,0.32,1.42,-0.27,0.13,0.09,1.36,0.25,-0.19,0.24,-0.49,1.67",false
19207,5,0,1,1.0778244641,1.78,0.2676475985,1.24,24.19,2.1,126.04,2.01,-20.7,1.44,55,-0.26,1,0.0,10.6168,0.0034,0.033,0,1.18,0.015,1.3,19158,0,"0.61,-0.15,0.86,-0.22,0.20,0.46,0.06,0.03,0.01,0.49,0.03,0.08,0.09,-0.13,0.67",true
19221,5,0,1,1.0785145396,1.28,0.241071456,0.95,4.77,1.48,7.7,1.58,-19.25,1.13,45,1.29,0,0.0,8.977,0.0027,0.014,0,0.662,0.015,0.72,19172,0,"0.95,-0.16,1.33,-0.30,0.26,0.80,-0.06,-0.06,0.11,0.72,-0.08,-0.24,0.19,-0.09,1.00",false
19261,15,3,2,1.080788317,0.55,0.2646415337,0.48,22.9,0.73,127.73,0.74,-23.86,0.59,52,4.82,0,0.0,6.0877,8.0E-4,0.006,0,0.397,0.004,0.46,19212,0,"3.03,-1.06,3.84,-0.93,1.14,2.26,0.32,0.28,-0.59,2.35,0.24,0.40,-0.50,-1.41,2.58",true
19263,5,0,1,1.0808769153,1.7,0.2883083332,1.17,19.65,1.87,123.86,1.91,-25.56,1.4,58,2.39,0,0.0,10.0621,0.0034,0.019,0,1.005,0.012,1.06,19214,0,"0.81,-0.22,1.07,-0.26,0.03,0.69,-0.08,0.09,0.10,0.65,0.14,0.05,0.23,-0.07,0.88",true
19281,5,0,1,1.0817165001,0.76,0.2885141888,0.58,6.14,0.84,-2.72,0.91,-14.04,0.71,61,2.61,0,0.0,7.6454,0.0013,0.008,0,0.102,0.005,0.12,19232,0,"1.78,-0.50,2.18,-0.44,-0.04,1.55,-0.33,0.10,0.28,1.40,0.21,-0.30,0.32,-0.37,1.77",false
19362,5,0,1,1.0859346242,1.91,0.2538888942,1.72,0.87,2.13,-1.49,2.62,-9.87,2.19,50,0.98,0,0.0,10.354,0.0052,0.026,0,0.764,0.075,0.8,19313,0,"0.68,-0.29,0.87,-0.15,0.15,0.57,-0.11,-0.09,0.13,0.47,-0.07,-0.33,0.10,-0.26,0.50",false
19401,5,0,1,1.088100969,1.48,0.2995366622,0.94,3.37,1.68,-3.28,1.72,-19.6,1.21,52,0.44,0,0.0,9.2105,0.0027,0.02,0,0.567,0.033,0.64,19352,0,"0.80,-0.19,1.11,-0.32,0.06,0.65,0.09,0.00,0.05,0.60,-0.02,0.06,0.29,0.00,0.85",false
19451,1,2,1,1.0905610314,2.86,0.2769513168,2.26,5.06,3.16,26.59,3.49,-14.82,2.74,51,0.43,0,8.6,10.0271,0.0051,0.028,0,0.587,0.07,0.66,19401,0,"0.38,-0.12,0.49,-0.07,0.10,0.33,-0.04,0.05,-0.01,0.30,0.07,-0.03,0.00,-0.08,0.38",false
19499,5,0,1,1.0938078277,1.05,0.2659367823,0.81,3.54,1.19,-14.78,1.22,-7.26,1.04,41,-0.41,0,0.0,9.1618,0.0027,0.016,0,1.04,0.05,1.01,19449,0,"0.99,-0.31,1.23,-0.33,0.09,0.82,-0.12,-0.06,0.05,0.82,-0.04,-0.22,0.20,-0.31,0.91",false
19519,5,0,1,1.0948430527,0.56,0.2783223904,0.47,5.63,0.59,-9.39,0.72,-14.07,0.69,52,-0.32,0,0.0,7.2292,0.0016,0.007,0,0.148,0.011,0.16,19469,0,"2.13,-0.97,2.47,-0.76,0.61,1.62,-0.28,-0.29,-0.08,1.57,-0.21,-0.59,0.03,-0.87,1.39",false
19526,5,0,1,1.0951330441,0.97,0.2491917591,0.74,5.82,1.14,-22.72,1.36,-27.01,1.0,56,2.18,0,0.0,8.8673,0.0023,0.018,0,1.328,0.039,1.29,19476,0,"1.32,-0.23,1.66,-0.34,-0.03,1.15,-0.03,-0.03,0.22,0.91,-0.03,-0.10,0.32,-0.24,1.22",false
19529,5,0,1,1.0954409818,0.59,0.290544594,0.54,2.6,0.71,3.55,0.97,0.96,0.87,47,2.19,0,0.0,7.056,0.0011,0.005,0,0.344,0.013,0.4,19479,0,"2.45,-1.42,2.59,-0.54,0.95,1.79,0.39,-0.06,-0.23,1.59,-0.29,0.00,-0.09,-1.05,1.43",false
19548,5,0,1,1.095957631,0.85,0.2727296446,0.71,5.13,0.86,-0.68,1.04,-9.11,0.95,49,2.52,0,0.0,7.7974,0.0015,0.01,0,0.207,0.014,0.23,19498,0,"1.74,-0.76,2.00,-0.29,0.11,1.51,-0.31,-0.20,0.05,1.35,-0.09,-0.51,0.26,-0.65,1.34",false
19617,5,0,1,1.1004907161,0.87,0.2606233303,0.57,10.45,0.95,55.88,1.01,-69.64,0.83,50,-0.25,0,0.0,8.6992,0.0016,0.015,0,0.465,0.025,0.54,19567,0,"1.27,-0.34,1.74,-0.48,-0.05,1.03,-0.17,0.02,0.02,0.99,0.07,-0.30,0.18,-0.33,1.17",false
19696,5,0,1,1.1047112709,1.16,0.2926383705,0.95,10.02,1.48,149.6,1.5,-46.88,1.36,46,0.45,0,0.0,9.2821,0.0036,0.02,0,0.64,0.015,0.7,19646,0,"0.97,-0.34,1.20,-0.27,0.18,0.79,0.01,-0.06,-0.16,0.74,-0.08,-0.19,0.41,-0.30,0.77",false
19781,5,0,1,1.1101447704,1.04,0.2552558488,0.69,21.62,1.1,106.63,1.23,-19.78,0.88,47,0.46,0,0.0,8.5833,0.0038,0.018,0,0.693,0.011,0.75,19730,0,"1.07,-0.04,1.54,-0.25,0.08,0.98,-0.15,0.09,0.00,0.85,0.13,-0.16,0.31,0.04,1.18",true
19822,5,0,1,1.1127223935,1.75,0.2746757891,1.17,4.87,1.96,19.59,2.01,-16.66,1.5,60,0.38,0,0.0,10.1456,0.0032,0.024,0,0.604,0.061,0.67,19771,0,"0.67,-0.15,0.91,-0.30,0.06,0.54,-0.04,-0.05,0.08,0.52,-0.06,-0.11,0.12,-0.10,0.68",false
19834,5,0,1,1.1133993274,2.66,0.2513012248,2.06,27.29,3.16,119.67,4.21,-15.19,3.51,45,0.98,0,0.0,11.6311,0.0124,0.052,0,1.363,0.01,1.33,19783,0,"0.43,-0.08,0.59,-0.03,0.10,0.39,-0.02,0.07,-0.10,0.29,0.10,0.01,-0.06,-0.14,0.32",true
19862,5,0,1,1.115091938,2.59,0.2741270564,1.88,26.99,2.88,121.33,3.16,-21.97,2.53,56,1.6,3,0.0,11.0662,0.0049,0.038,0,0.924,0.301,1.7,19811,0,"0.52,-0.21,0.62,-0.21,0.03,0.41,0.03,-0.02,0.03,0.39,-0.03,-0.03,0.06,-0.15,0.46",true
19877,5,0,1,1.1160082076,0.44,0.2687937699,0.33,22.02,0.48,115.78,0.59,-21.72,0.46,55,2.89,0,0.0,6.4024,9.0E-4,0.005,0,0.4,0.015,0.46,19826,0,"3.21,-0.42,4.19,-1.03,0.91,2.74,0.50,0.03,0.07,2.22,-0.03,0.54,-0.28,-0.26,2.81",true
19960,5,0,1,1.1205525602,0.69,0.2829954724,0.4,7.22,0.75,-22.03,0.77,-25.94,0.57,43,1.76,0,0.0,6.7375,0.0012,0.006,0,1.101,0.012,1.06,19909,0,"2.04,-0.01,3.05,-0.84,0.05,1.73,-0.05,0.24,-0.12,1.55,0.36,-0.01,0.83,0.02,2.12",false
20011,5,0,1,1.1233731652,0.86,0.2895610715,0.54,4.88,0.92,-24.01,0.94,11.52,0.69,44,-1.12,0,0.0,8.4573,0.0021,0.011,0,0.505,0.015,0.58,19960,0,"1.12,-0.04,1.62,-0.42,-0.05,0.97,-0.03,0.07,0.10,0.93,0.10,-0.11,0.28,-0.12,1.27",false
20019,5,0,1,1.1242009421,1.04,0.2957968447,0.68,21.86,1.13,112.53,1.19,-21.36,0.86,51,0.96,0,0.0,8.4635,0.0035,0.021,1,0.756,0.004,0.8,19968,0,"1.18,-0.14,1.67,-0.46,0.13,0.99,-0.22,0.08,0.20,0.93,0.14,-0.32,0.09,-0.19,1.27",true
20025,5,0,1,1.1245000822,0.72,0.2414922315,0.49,4.4,0.79,63.85,0.94,43.43,0.81,42,1.57,0,0.0,7.0671,0.0023,0.009,0,0.993,0.012,1.15,19974,0,"1.96,-0.43,2.50,-0.83,-0.16,1.51,-0.27,0.14,-0.22,1.41,0.24,-0.39,0.19,-0.73,1.45",false
20082,5,0,1,1.1271335983,1.62,0.2807953517,1.21,18.89,1.8,119.68,2.27,-19.22,1.87,40,0.68,0,0.0,9.7157,0.0035,0.019,0,0.98,0.005,1.02,20031,0,"0.71,-0.12,0.94,-0.16,0.13,0.61,-0.08,0.12,-0.11,0.52,0.17,-0.09,-0.03,-0.26,0.57",true
20182,5,0,1,1.132573828,1.07,0.2564291628,0.73,0.39,1.15,2.47,1.36,8.78,1.15,53,0.71,0,0.0,8.8944,0.0027,0.015,0,0.564,0.035,0.64,20131,0,"1.20,-0.43,1.47,-0.54,0.10,0.93,0.20,0.00,0.00,0.86,-0.07,0.05,-0.06,-0.43,0.93",false
20197,5,0,1,1.1333416911,0.86,0.2491317555,0.69,11.89,0.89,79.92,1.15,-217.42,1.06,48,1.15,0,0.0,7.68,0.0018,0.011,0,0.991,0.004,1.03,20146,0,"1.53,-0.81,1.68,-0.43,0.07,1.26,0.10,-0.12,0.01,1.12,-0.19,-0.20,0.08,-0.62,1.06",false
20205,5,0,1,1.1335574543,0.26,0.2727548212,0.2,20.19,0.32,115.48,0.42,-23.42,0.33,39,1.64,2,0.0,3.8123,0.0011,0.006,0,0.981,0.012,0.95,20154,0,"4.91,-0.63,6.52,-1.08,1.15,4.21,-0.28,0.61,-1.49,3.30,0.85,-0.44,-0.08,-2.23,3.65",true
