HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,B-V,e_B-V,V-I,hip2_oid,ic,UW,Testing
20553,15,3,2,1.1528189129,0.98,0.2575807282,0.49,22.76,1.04,97.75,1.24,-33.95,0.8,63,1.78,3,0.0,7.7132,0.0024,0.015,0,0.604,0.015,0.7,20500,0,"1.37,-0.76,2.65,-0.27,-0.15,1.20,-0.18,0.25,-0.16,0.94,0.59,-0.61,0.48,0.03,1.46",true
20567,5,0,1,1.1535326255,0.7,0.2980851216,0.35,18.7,0.85,97.03,1.08,-27.54,0.65,85,0.01,0,0.0,7.0609,6.0E-4,0.007,0,0.45,0.018,0.52,20514,0,"1.86,-1.86,3.62,-0.58,-0.60,1.33,0.07,0.31,-0.44,0.93,0.53,-1.21,0.44,-0.20,1.54",true
20577,5,0,1,1.1539722328,0.84,0.2947202471,0.47,20.8,1.03,110.33,1.29,-24.51,0.92,83,-0.52,0,0.0,7.9233,0.0017,0.012,0,0.599,0.015,0.69,20524,0,"1.38,-1.13,2.52,-0.43,-0.32,1.06,0.09,0.12,-0.31,0.76,0.15,-0.85,0.49,-0.24,1.03",true
20605,15,3,2,1.1554073955,5.25,0.277067199,3.58,21.98,5.36,97.36,6.93,-30.78,5.94,85,4.01,0,0.0,11.7579,0.0086,0.06,0,1.408,0.013,1.69,20552,0,"0.34,-0.31,0.41,-0.07,-0.05,0.26,-0.01,0.04,-0.01,0.24,0.06,-0.12,0.07,-0.18,0.22",true
20661,55,3,2,1.1589897843,0.84,0.2782243366,0.45,21.19,0.92,104.07,1.17,-27.71,0.79,103,8.42,0,0.0,6.5556,8.0E-4,0.007,0,0.509,0.005,0.58,20608,0,"2.29,-1.93,4.18,-0.32,-0.43,1.92,-0.14,0.39,0.09,1.43,0.83,-1.12,0.80,-0.31,2.09",true
20713,1,0,1,1.16214724,0.56,0.2725915673,0.31,20.36,0.6,114.32,0.72,-32.19,0.51,102,0.15,0,2.1,4.5524,6.0E-4,0.006,0,0.262,0.011,0.33,20660,0,"2.10,-1.65,3.41,-0.32,-0.24,1.77,0.01,0.32,-0.15,1.46,0.51,-0.74,0.66,-0.58,1.98",true
20719,5,0,1,1.1624289041,0.88,0.2941467111,0.42,22.22,1.06,104.61,1.06,-17.76,0.78,70,-1.35,0,0.0,8.1652,0.0022,0.013,0,0.651,0.004,0.71,20666,0,"1.23,-0.86,2.30,-0.43,-0.18,0.97,-0.02,0.13,-0.03,0.83,0.26,-0.59,0.68,-0.06,1.13",true
20732,5,0,1,1.1632893386,0.21,0.2568052624,0.11,7.82,0.22,-9.52,0.26,-31.44,0.18,89,-2.76,0,0.0,4.8523,5.0E-4,0.004,0,0.979,0.004,0.96,20679,0,"4.22,-2.55,8.06,-0.76,-0.71,3.65,-0.73,0.63,0.28,3.07,1.66,-2.25,1.01,-0.81,4.39",false
20740,5,0,1,1.1634784919,1.56,0.2481941044,0.86,6.7,1.83,-38.97,1.77,54.04,1.41,78,0.19,0,0.0,9.3558,0.0023,0.015,0,0.527,0.004,0.6,20687,0,"0.84,-0.68,1.55,-0.22,-0.28,0.62,-0.26,0.01,0.02,0.58,0.23,-0.68,0.35,-0.14,0.72",false
20741,5,0,1,1.163556758,1.01,0.2922897033,0.51,21.74,1.23,110.82,1.25,-27.39,0.93,67,-0.86,0,0.0,8.2399,0.0024,0.015,0,0.664,0.008,0.72,20688,0,"1.12,-0.73,1.93,-0.40,-0.12,0.88,-0.02,0.10,-0.04,0.74,0.19,-0.43,0.61,-0.05,0.99",true
